9999	74	16	3	15	26	42	91	12	95	21	58	23	81	89	
29	9999	51	96	101	77	55	87	2	101	8	86	80	68	39	
50	23	9999	47	100	36	28	66	88	59	66	53	8	94	16	
82	65	95	9999	62	22	47	63	88	79	75	95	81	32	86	
56	93	71	34	9999	30	76	87	41	21	52	78	92	53	62	
78	89	71	97	61	9999	36	67	36	94	67	45	2	6	90	
88	26	80	25	68	98	9999	82	16	11	85	68	29	12	28	
42	66	49	85	10	23	21	9999	58	16	2	95	45	100	65	
17	62	70	61	92	55	58	6	9999	56	85	59	86	39	27	
77	75	44	51	30	57	20	4	91	9999	29	58	62	100	18	
87	78	39	5	68	72	14	45	17	8	9999	80	32	95	6	
58	80	53	59	16	45	70	22	74	55	58	9999	55	98	90	
60	99	75	75	34	39	11	59	36	4	88	96	9999	36	49	
71	96	26	12	81	79	47	87	61	75	62	60	84	9999	61	
67	17	14	6	37	46	6	90	71	7	35	87	41	15	9999	
